AGE,GENDER,SCHOOL_SECTION,PERSONAL_SMARTPHONE,OTT_SUBSCRIPTION,TELEVISION_SCREEN_TIME,TELEVISION_CONTENT,SOCIAL_MEDIA_PLATFORM,PHONE_SCREEN_TIME,SOCIAL_MEDIA_CONTENT,MOBILE_GAMES,SLEEPING_TIME,WAKEUP_TIME,OUTDOOR_SPORTS,SLEEP_ISSUES,DISTRACTION_DURING_SLEEPING,EYES_STRAINED,SPECTACLES,SPECTACLE_NUMBER,RESTLESS,DISTRACTION_DURING_SEARCHING,CONCENTRATION,DEPRESSED,ANXIETY,BEHAVIOURAL_CHANGES,REPLICATE_SOCIAL_MEDIA,
10,Male,Secondary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Youtube, Instagram, Others",1 to 3 hours,"Entertainment, Casual_scrolling","Action, Racing",Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
15,Female,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports, News","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Educational, Casual_scrolling","Action, Others",Between 10pm and 12am,Between 8am and 10am,Low,Moderate,Low,Yes,Yes,Between 1 and 3,Moderate,High,Moderate,Moderate,Moderate,Low,Low,
14,Female,Higher_secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, News","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,Between 10pm and 12am,After 10am,Low,Moderate,High,Yes,Yes,Between 3 and 5,Moderate,High,High,High,Moderate,High,High,
15,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,Movies,"Youtube, Instagram, Others",More than 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,High,Moderate,Yes,No,No spectacle,High,High,High,High,High,Moderate,Low,
8,Male,Primary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies, Sports, News","Youtube, Snapchat",1 to 3 hours,"Entertainment, Educational","Racing, Puzzles",Before 10pm,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
14,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports","Facebook, Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,Moderate,Moderate,Yes,Yes,Between 1 and 3,Moderate,High,Moderate,High,Moderate,High,Moderate,
9,Female,Secondary_section,No,No,Between 3 hours & 5 hours,"Cartoon, Movies, Others","Youtube, Instagram",3 to 5 hours,Entertainment,Others,Between 10pm and 12am,Between 8am and 10am,Low,Moderate,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
10,Male,Secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Educational, Negative, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,High,Moderate,Moderate,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
5,Female,Primary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Snapchat",Less than 1 hour,"Entertainment, Educational",Puzzles,Before 10pm,By 8am,Moderate,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
5,Male,Secondary_section,No,No,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Instagram",1 to 3 hours,"Entertainment, Negative, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Low,Moderate,Moderate,Yes,Yes,Between 1 and 3,Moderate,High,High,Moderate,Low,Moderate,Moderate,
8,Male,Primary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Movies, Sports",Youtube,Less than 1 hour,"Entertainment, Educational","Racing, Puzzles",Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,
14,Male,Higher_secondary_section,Yes,Yes,More than 5 hours,"Cartoon, Movies, Sports, News, Others","Facebook, Youtube, Instagram, Snapchat, Others",More than 5 hours,"Entertainment, Educational, Negative, Casual_scrolling","Action, Racing, Puzzles",After midnight 12am,After 10am,Low,High,High,Yes,Yes,Between 1 and 3,High,High,High,High,High,High,High,
8,Male,Primary_section,Yes,Yes,Less than 1 hour,Movies,"Youtube, Instagram, Others",More than 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,High,Moderate,Yes,No,No spectacle,High,High,High,High,Moderate,Moderate,Moderate,
11,Male,Secondary_section,No,No,Less than 1 hour,"Cartoon, Movies","Youtube, Instagram",Less than 1 hour,"Entertainment, Educational","Racing, Puzzles",Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,Yes,Between 1 and 3,Low,Low,Low,Low,Low,Low,Low,
14,Male,Higher_secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, Sports, News","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,High,Moderate,No,Yes,Between 1 and 3,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,
15,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Sports, News","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Educational",Action,Before 10pm,By 8am,Moderate,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
6,Female,Primary_section,No,Yes,Between 1 hour & 3 hours,Cartoon,Youtube,1 to 3 hours,Entertainment,Others,Before 10pm,By 8am,Low,Low,Low,No,No,No spectacle,Moderate,Low,Low,Low,Low,Low,Moderate,
13,Female,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Cartoon, Sports","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Racing,Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
14,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,Movies,"Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Educational, Casual_scrolling",Action,Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Moderate,High,Moderate,Low,Low,Low,Low,
8,Male,Primary_section,No,No,Between 1 hour & 3 hours,"Movies, Sports","Facebook, Youtube, Snapchat",1 to 3 hours,"Entertainment, Educational",Racing,Before 10pm,After 10am,High,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
14,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports, News","Youtube, Instagram, Snapchat, Others",More than 5 hours,"Entertainment, Educational, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Moderate,Moderate,Moderate,Yes,Yes,Less than 1,High,High,Moderate,Low,Low,Low,Low,
10,Female,Secondary_section,Yes,Yes,Between 3 hours & 5 hours,"Cartoon, Movies","Youtube, Tiktok",3 to 5 hours,"Entertainment, Casual_scrolling",Puzzles,Between 10pm and 12am,Between 8am and 10am,Low,Moderate,Moderate,No,No,No spectacle,Moderate,Low,Low,Low,Low,Low,Low,
9,Female,Secondary_section,No,Yes,Less than 1 hour,"Cartoon, Movies","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Educational, Casual_scrolling",Racing,Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Low,No,No,No spectacle,Moderate,High,Moderate,Low,Low,Low,Low,
7,Male,Primary_section,Yes,No,Less than 1 hour,"Cartoon, Sports","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Casual_scrolling","Action, Racing",Before 10pm,After 10am,High,Low,Low,No,Yes,Between 1 and 3,Moderate,Low,Low,Low,Low,Low,Low,
12,Male,Secondary_section,No,No,Between 1 hour & 3 hours,"Movies, Sports","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Educational","Action, Racing",Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Moderate,Moderate,Low,Low,Low,Low,Low,
8,Male,Primary_section,No,No,Between 1 hour & 3 hours,Cartoon,Youtube,1 to 3 hours,Entertainment,Others,Before 10pm,By 8am,Low,Low,Low,No,Yes,Less than 1,Low,Low,Low,Low,Low,Low,Low,
15,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,News,"Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Educational",Puzzles,Between 10pm and 12am,By 8am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
10,Male,Secondary_section,No,Yes,Between 3 hours & 5 hours,"Movies, Sports, News","Facebook, Youtube, Instagram",1 to 3 hours,"Entertainment, Negative, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Low,Moderate,Low,No,No,No spectacle,Moderate,Moderate,High,Moderate,Moderate,Low,Low,
15,Female,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports, News","Youtube, Instagram, Snapchat, Others",More than 5 hours,"Entertainment, Negative",Puzzles,Between 10pm and 12am,After 10am,Low,Moderate,Low,Yes,Yes,Between 1 and 3,High,High,High,Moderate,Moderate,Moderate,Moderate,
12,Male,Secondary_section,No,No,Between 3 hours & 5 hours,"Movies, Sports","Facebook, Youtube, Instagram",1 to 3 hours,"Entertainment, Casual_scrolling",Action,Between 10pm and 12am,After 10am,Moderate,Low,Low,Yes,Yes,Between 3 and 5,Moderate,Moderate,Moderate,Low,Low,Low,Low,
14,Female,Higher_secondary_section,Yes,No,Less than 1 hour,"Movies, Sports","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Negative",Racing,Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
15,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,Movies,"Youtube, Instagram",3 to 5 hours,"Entertainment, Educational, Negative",Action,Between 10pm and 12am,Between 8am and 10am,High,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
14,Female,Higher_secondary_section,No,No,Between 1 hour & 3 hours,"Movies, Sports, News","Youtube, Instagram",1 to 3 hours,Educational,"Racing, Puzzles",Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Moderate,Moderate,Low,Low,Low,Low,Low,
12,Male,Higher_secondary_section,Yes,Yes,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Youtube, Instagram, Snapchat",3 to 5 hours,"Educational, Casual_scrolling","Action, Racing",Between 10pm and 12am,After 10am,High,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
12,Female,Secondary_section,No,No,Between 3 hours & 5 hours,"Movies, Sports","Youtube, Instagram",1 to 3 hours,"Entertainment, Educational",Racing,Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
12,Male,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Instagram",1 to 3 hours,"Entertainment, Casual_scrolling",Racing,After midnight 12am,After 10am,Moderate,Moderate,Low,No,Yes,Between 1 and 3,Moderate,Moderate,Moderate,Low,Low,Low,Low,
11,Male,Secondary_section,No,No,Between 3 hours & 5 hours,"Movies, Sports","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Casual_scrolling","Racing, Puzzles",Between 10pm and 12am,After 10am,Moderate,Moderate,Moderate,No,Yes,Between 1 and 3,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,
15,Female,Higher_secondary_section,No,No,Between 1 hour & 3 hours,"Movies, Sports","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Educational, Casual_scrolling",Racing,Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
15,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,Moderate,Moderate,No,No,No spectacle,High,High,High,Moderate,Moderate,Moderate,Low,
13,Female,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Negative",Action,After midnight 12am,After 10am,Moderate,Moderate,Low,Yes,Yes,Less than 1,High,Moderate,Moderate,Moderate,Moderate,Low,Low,
7,Male,Primary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Instagram",1 to 3 hours,"Entertainment, Negative",Racing,Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Low,No,No,No spectacle,Moderate,Moderate,High,Moderate,Moderate,Low,Low,
10,Female,Secondary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Instagram",1 to 3 hours,"Entertainment, Educational","Racing, Puzzles",Between 10pm and 12am,Between 8am and 10am,High,Moderate,Moderate,No,Yes,Between 1 and 3,Moderate,Moderate,Low,Low,Low,Moderate,Low,
9,Female,Secondary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Movies","Youtube, Snapchat",1 to 3 hours,"Entertainment, Educational","Racing, Puzzles",Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Low,Yes,No,No spectacle,Low,High,Moderate,Low,Low,Low,Moderate,
11,Male,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Instagram",1 to 3 hours,"Entertainment, Educational, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Moderate,High,Moderate,Yes,Yes,Between 1 and 3,Moderate,High,High,High,Moderate,High,Moderate,
13,Female,Higher_secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, News","Youtube, Instagram, Tiktok",3 to 5 hours,"Entertainment, Educational, Casual_scrolling","Racing, Puzzles",After midnight 12am,After 10am,Low,Moderate,Moderate,Yes,No,No spectacle,Moderate,High,High,Moderate,High,Moderate,High,
8,Female,Primary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Youtube, Tiktok",1 to 3 hours,"Entertainment, Educational","Racing, Puzzles",Between 10pm and 12am,After 10am,High,Low,Moderate,Yes,No,No spectacle,Low,Moderate,Moderate,Low,Moderate,Low,Moderate,
8,Female,Primary_section,No,No,Between 3 hours & 5 hours,Cartoon,"Youtube, Snapchat",Less than 1 hour,"Entertainment, Educational",Puzzles,Before 10pm,By 8am,High,Low,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Low,Moderate,
11,Male,Secondary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Tiktok",1 to 3 hours,"Entertainment, Casual_scrolling","Action, Racing, Puzzles",Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Low,Yes,Yes,Less than 1,Low,High,Moderate,Low,Moderate,Low,Moderate,
13,Male,Higher_secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, News","Facebook, Youtube, Instagram",3 to 5 hours,"Entertainment, Negative, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Low,High,Moderate,Yes,Yes,Between 3 and 5,Moderate,High,High,High,Moderate,Moderate,High,
9,Female,Secondary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Snapchat",Less than 1 hour,"Entertainment, Educational",Puzzles,Between 10pm and 12am,By 8am,High,Low,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Moderate,Low,
6,Female,Primary_section,No,No,Between 1 hour & 3 hours,Cartoon,"Youtube, Snapchat",Less than 1 hour,Entertainment,Puzzles,Before 10pm,By 8am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Moderate,
15,Female,Higher_secondary_section,No,No,Less than 1 hour,News,"Youtube, Instagram",1 to 3 hours,"Entertainment, Educational",Action,Before 10pm,By 8am,High,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
13,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports","Youtube, Instagram",3 to 5 hours,"Entertainment, Educational, Negative, Casual_scrolling",Action,Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
15,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, News","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Educational, Casual_scrolling",Racing,Between 10pm and 12am,After 10am,Moderate,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
7,Male,Primary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Negative, Casual_scrolling",Puzzles,Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
13,Female,Higher_secondary_section,No,No,Between 1 hour & 3 hours,"Movies, Sports","Youtube, Instagram, Snapchat",More than 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,High,Moderate,Yes,No,No spectacle,High,High,High,Moderate,Moderate,Low,Low,
14,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Moderate,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
14,Male,Higher_secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, Sports","Youtube, Instagram, Snapchat",3 to 5 hours,"Educational, Casual_scrolling","Action, Puzzles",Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,Yes,Less than 1,Moderate,Moderate,Low,Low,Low,Low,Low,
5,Male,Primary_section,No,No,Between 3 hours & 5 hours,"Cartoon, Movies","Facebook, Youtube, Instagram",Less than 1 hour,"Entertainment, Casual_scrolling",Racing,Before 10pm,After 10am,High,Low,Low,No,No,No spectacle,Low,Low,Moderate,Low,Low,Low,Low,
14,Female,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, News","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Educational",Action,After midnight 12am,After 10am,Low,Moderate,Low,Yes,Yes,Between 3 and 5,Moderate,Moderate,Low,Low,Low,Low,Low,
9,Male,Secondary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Instagram, Others",1 to 3 hours,"Entertainment, Casual_scrolling","Action, Racing",Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Low,Moderate,Low,Low,Low,Low,
10,Male,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Sports, News","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Educational, Casual_scrolling",Action,After midnight 12am,After 10am,Moderate,Low,Low,Yes,Yes,Between 1 and 3,Moderate,Moderate,Moderate,Low,Low,Low,Low,
7,Male,Primary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Facebook, Youtube",1 to 3 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,Moderate,Low,Yes,Yes,More than 5,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,
12,Male,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Moderate,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,
6,Male,Primary_section,No,Yes,More than 5 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Instagram",1 to 3 hours,"Entertainment, Casual_scrolling","Racing, Puzzles",After midnight 12am,After 10am,Moderate,Moderate,Low,Yes,Yes,Between 1 and 3,Moderate,Moderate,High,Moderate,Moderate,Low,Low,
14,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, News","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Casual_scrolling",Action,Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Low,
12,Male,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, Sports","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Negative",Action,Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
11,Female,Secondary_section,No,Yes,Between 1 hour & 3 hours,"Movies, Sports","Youtube, Instagram, Others",1 to 3 hours,"Entertainment, Educational",Racing,Between 10pm and 12am,After 10am,Moderate,Low,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Low,Low,
13,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,Movies,"Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Moderate,Low,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
6,Male,Primary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies","Facebook, Youtube",1 to 3 hours,Entertainment,Racing,Between 10pm and 12am,After 10am,High,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
7,Male,Primary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Snapchat",1 to 3 hours,"Entertainment, Casual_scrolling",Action,Before 10pm,Between 8am and 10am,High,Low,Low,No,Yes,Less than 1,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,
12,Female,Secondary_section,No,Yes,Between 1 hour & 3 hours,"Movies, Sports","Facebook, Youtube",1 to 3 hours,"Entertainment, Casual_scrolling",Action,Between 10pm and 12am,After 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
9,Female,Secondary_section,Yes,Yes,Less than 1 hour,"Cartoon, Movies","Youtube, Instagram, Snapchat, Others",More than 5 hours,"Entertainment, Negative, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Low,Moderate,Low,Yes,No,No spectacle,High,High,High,Moderate,Moderate,Moderate,Low,
9,Female,Secondary_section,No,No,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Snapchat",1 to 3 hours,"Entertainment, Educational",Action,Between 10pm and 12am,After 10am,High,Low,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
12,Female,Secondary_section,No,Yes,More than 5 hours,"Movies, Sports, Others","Facebook, Youtube",1 to 3 hours,"Entertainment, Casual_scrolling",Racing,After midnight 12am,After 10am,Moderate,Moderate,Low,Yes,No,No spectacle,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,
14,Female,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports","Youtube, Instagram, Snapchat, Others",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Moderate,Moderate,Low,No,No,No spectacle,Moderate,High,High,High,High,Moderate,Low,
13,Female,Higher_secondary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Casual_scrolling",Racing,Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,Yes,Between 1 and 3,Moderate,Moderate,Low,Low,Low,Low,Low,
12,Female,Secondary_section,Yes,No,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Educational",Others,Between 10pm and 12am,Between 8am and 10am,Low,Low,Low,No,No,No spectacle,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,
5,Female,Primary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Facebook, Youtube",1 to 3 hours,"Entertainment, Educational",Racing,Before 10pm,After 10am,High,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
12,Female,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, Sports","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Educational, Negative",Action,Between 10pm and 12am,After 10am,Low,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
15,Female,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports, News","Youtube, Instagram, Snapchat",More than 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,Moderate,Low,No,Yes,Less than 1,High,High,High,Moderate,Moderate,Moderate,Low,
7,Female,Primary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies","Facebook, Youtube",Less than 1 hour,Entertainment,Racing,Before 10pm,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
9,Female,Secondary_section,No,Yes,Between 3 hours & 5 hours,"Movies, Sports","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Casual_scrolling",Action,Between 10pm and 12am,After 10am,Moderate,Low,Low,No,Yes,Less than 1,Low,Moderate,Low,Low,Low,Low,Low,
11,Male,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, Sports, News","Facebook, Youtube, Instagram, Tiktok",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,High,Moderate,Yes,Yes,More than 5,High,High,High,High,Moderate,High,High,
13,Female,Higher_secondary_section,No,No,Between 1 hour & 3 hours,"Movies, Sports, News","Facebook, Youtube, Instagram",1 to 3 hours,"Entertainment, Educational, Casual_scrolling",Racing,Between 10pm and 12am,After 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
8,Female,Primary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Snapchat, Others",3 to 5 hours,"Entertainment, Casual_scrolling",Racing,After midnight 12am,After 10am,Moderate,Moderate,Low,No,No,No spectacle,Low,High,Moderate,Low,Low,Low,Low,
8,Male,Primary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Sports","Youtube, Instagram",1 to 3 hours,"Entertainment, Educational, Casual_scrolling",Puzzles,Before 10pm,By 8am,High,Low,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Low,Moderate,
5,Male,Primary_section,Yes,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Youtube, Instagram, Snapchat, Others",More than 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,High,Moderate,Yes,No,No spectacle,High,High,High,High,High,Moderate,Moderate,
7,Male,Primary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies, Sports",Youtube,Less than 1 hour,"Entertainment, Educational",Puzzles,Between 10pm and 12am,By 8am,High,Moderate,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Low,Moderate,
6,Female,Primary_section,No,No,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Snapchat",1 to 3 hours,"Entertainment, Negative",Racing,Between 10pm and 12am,After 10am,Moderate,Low,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Low,Low,
14,Female,Higher_secondary_section,No,Yes,Between 1 hour & 3 hours,"Movies, Sports, News","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Educational, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,Low,Low,No,No,No spectacle,Moderate,High,High,Moderate,Moderate,Low,Low,
